Task ID,Task Name,Description content,Task assignee,Priority,Status,Start date,Due date,List,Tags,Subtasks,Sprint Phase,Dependencies,Acceptance Criteria,Technical Notes
T-001,Freeze frontend-consumed API response contracts,"Document and freeze the exact response shapes for student enrollments, progress, streaks, and active bug-fix endpoints so frontend work can proceed without guessing. This removes silent rendering bugs caused by inconsistent payloads.",Zeyad,2,To Do,04/23/2026,04/23/2026,Backend Bug Fixes,"backend,contract,day-1,api","Audit current response shapes|Standardize final route shape|Publish success empty and error payloads|Share contract note with Jimmy and Mohamed|Provide stub payloads for unfinished routes","Day 1: Setup + Contracts + Mocks","None — can be done in parallel","[ ] Each targeted endpoint has a documented final response shape|[ ] Each route includes at least one sample payload|[ ] Empty-state and error-state payloads are defined|[ ] Jimmy can implement pages without waiting for live backend changes","APIs: /api/enrollments/student, /api/progress/overall, /api/progress/courses, /api/streaks/me. Modules: server/src/api/enrollment.routes.ts, server/src/api/progress.routes.ts. If final implementation is not ready, provide stub JSON with the final contract."
T-002,Freeze gamification API and shared type contracts,"Lock the gamification payload shapes for profile, badges, leaderboard, activity, admin settings, rules, and reports so frontend and testing work can proceed independently.",Mohamed,2,To Do,04/23/2026,04/23/2026,Gamification System,"gamification,contract,day-1,shared-types","Review current gamification routes and shared types|Finalize response shapes in shared types|Publish student and admin sample payloads|Define query keys and cache invalidation notes|Share contract pack with Jimmy and QA","Day 1: Setup + Contracts + Mocks","None — can be done in parallel","[ ] Shared gamification types reflect the intended API shape|[ ] Student and admin gamification sample payloads exist|[ ] Query keys and refresh behavior are documented|[ ] Jimmy can render gamification UI from samples without backend dependency","APIs: /api/gamification/me, /api/gamification/me/badges, /api/gamification/leaderboard, /api/gamification/activity, /api/admin/gamification/*. Files: shared/gamification.types.ts and gamification routes/services."
T-003,Define security error and middleware contract,"Create a stable contract for auth failures, rate-limit responses, and high-risk middleware behavior so backend and frontend teams know exactly how protected routes will behave this week.",Shady,2,To Do,04/23/2026,04/23/2026,Security Hardening,"security,contract,day-1,middleware","Audit auth session and rate-limit middleware behavior|Define standard error response shape|List top-risk routes following this contract|Publish local developer testing notes|Share with Zeyad Jimmy and Youssef","Day 1: Setup + Contracts + Mocks","None — can be done in parallel","[ ] Security error response shape is documented|[ ] Protected route categories are listed|[ ] Local developer testing guidance is available|[ ] No team member is blocked by unclear auth behavior","Modules: server/src/index.ts, server/src/middleware/*. Avoid changing feature contracts while defining security behavior."
T-004,Prepare frontend fixture adapters for unstable APIs,"Set up local mock and fixture support so frontend bug-fix and gamification UI work can proceed even if backend routes are incomplete or unstable.",Jimmy,2,To Do,04/23/2026,04/23/2026,Frontend Bug Fixes,"frontend,mock-required,day-1,fixtures","Create fixture payloads for enrollments progress streaks gamification and AI|Add helper to switch between live and fixture data|Validate fixture rendering on student pages|Document how to toggle fixture mode|Flag contract mismatches immediately","Day 1: Setup + Contracts + Mocks","Depends on T-001 and T-002 contracts when available; otherwise use current best-known shapes and update later","[ ] Student courses page renders from fixture data|[ ] Student dashboard renders from fixture data|[ ] Student gamification page renders from fixture data|[ ] Fixture mode can be enabled without editing multiple files","Files: client/src/pages/* and lightweight mock helpers under client/src. Do not edit gamification-owned components without Mohamed’s contract signoff."
T-005,Define AI orchestration contract and stub executor,"Freeze the request and response schema for the AI workflow orchestrator and provide a deterministic stub implementation so UI and integration work can continue before live AI logic is complete.",Youssef,2,To Do,04/23/2026,04/23/2026,AI Features,"ai,contract,day-1,mock-required","Define orchestration request payload|Define orchestration response with fallback and trace|Create sample request and response JSON|Define deterministic stub outputs|Share contract with Jimmy and Mohamed","Day 1: Setup + Contracts + Mocks","None — can be done in parallel","[ ] AI orchestration request schema is documented|[ ] AI orchestration response schema is documented|[ ] Stub responses exist for success and fallback scenarios|[ ] Frontend can build against the stub without waiting for AI backend completion","Target API: POST /api/ai-orchestra/execute. Constraint: one stable schema only and no midweek contract drift."
T-006,Fix student courses page data parsing and rendering stability,"Fix the student courses page so it correctly renders paginated enrollment responses and never silently displays an empty list for valid data.",Jimmy,2,To Do,04/24/2026,04/25/2026,Frontend Bug Fixes,"frontend,student,day-2-3,bugfix","Audit current parsing logic|Support paginated data response shape|Add explicit error and empty-state UI|Validate with fixture and live responses|Record before and after screenshots","Day 2–3: Core Implementation","None — can be done in parallel with live backend fixes using fixtures","[ ] Courses render correctly when API returns paginated data|[ ] Real empty enrollment state shows intentional messaging|[ ] API error shows intentional error state|[ ] No silent blank list remains on the page","Files: client/src/pages/student-courses.tsx and any shared student hooks if needed. If live route remains unstable, keep fixture adapter until Zeyad confirms contract."
T-007,Fix student dashboard data aggregation and fallback states,"Stabilize student dashboard rendering across enrollments, progress, and streak responses so the page remains usable even when one source is empty or temporarily unavailable.",Jimmy,2,To Do,04/24/2026,04/25/2026,Frontend Bug Fixes,"frontend,student,day-2-3,dashboard","Audit current dashboard fetch and parsing logic|Normalize response handling|Add empty loading and partial-data states|Validate widgets with live and fixture payloads|Document remaining backend mismatches","Day 2–3: Core Implementation","None — can be done in parallel with fixtures","[ ] Dashboard loads with full data when all endpoints succeed|[ ] Dashboard still renders partial UI when one endpoint fails|[ ] Empty state messaging is clear and intentional|[ ] No silent render failures remain","Files: client/src/pages/student-dashboard.tsx, client/src/hooks/useStudentDashboard.ts. APIs: enrollments progress streak routes."
T-008,Normalize student and teacher API route shapes,"Fix backend route inconsistencies causing frontend bugs, especially array versus object drift, missing wrappers, and incompatible empty-state behavior.",Zeyad,2,To Do,04/24/2026,04/25/2026,Backend Bug Fixes,"backend,api,day-2-3,bugfix","Identify top impacted routes|Normalize response wrappers and pagination metadata|Ensure status codes and error payloads are consistent|Verify affected consumers|Publish route changelog","Day 2–3: Core Implementation","None — can be done in parallel","[ ] Targeted routes return consistent documented shapes|[ ] Empty responses are explicit and predictable|[ ] Error responses use standard structure|[ ] Frontend consumers can parse routes without custom hacks per page","Files: selected server/src/api/*.ts excluding gamification and security-owned routes. Do not change gamification or security routes without coordination."
T-009,Complete persistent lesson completion event flow,"Ensure lesson completion is durably recorded in the database and survives refresh even when points are disabled. This is the critical path for making gamification reliable.",Mohamed,2,To Do,04/24/2026,04/25/2026,Gamification System,"gamification,backend,day-2-3,critical-path","Audit lesson completion endpoint to event persistence|Ensure completion event is written even when points are zero|Verify activity endpoint restores completed lessons|Validate course completion behavior on last lesson|Document event persistence rules","Day 2–3: Core Implementation","None — can be done in parallel","[ ] Completing a lesson creates a durable completion record|[ ] Refreshing the lesson viewer shows completed lessons correctly|[ ] Duplicate completion remains idempotent|[ ] Course completion fires only under valid final-lesson conditions","Files: lesson completion route, gamification service, activity route, lesson viewer consumer. Completion persistence must not depend solely on points being enabled."
T-010,Complete student gamification profile refresh behavior,"Make the student gamification experience update immediately after completions and load correctly from persisted state on revisit.",Mohamed,2,To Do,04/24/2026,04/25/2026,Gamification System,"gamification,frontend,day-2-3,student","Review query invalidation and refresh behavior|Ensure profile badges and activity feed update|Validate empty disabled and active states|Verify route mounting and auth behavior|Produce UI verification checklist","Day 2–3: Core Implementation","Depends on T-009 preferred but can be mocked in parallel","[ ] Student gamification page updates after completion actions|[ ] Refreshing the page shows persisted state|[ ] Empty and disabled states are accurate|[ ] No endpoint returns 404 for mounted gamification routes","Files: gamification pages hooks components and route mounting. Use shared gamification types as source of truth."
T-011,Implement admin gamification settings and rules stability pass,"Stabilize the admin-side gamification controls so the platform can safely configure points, naming, badges, and feature flags during integration.",Mohamed,3,To Do,04/24/2026,04/25/2026,Gamification System,"gamification,admin,day-2-3","Validate settings get and put flow|Validate default rule seeding behavior|Verify rules update validation and persistence|Validate admin badges list create and update contract|Document admin-side usage and constraints","Day 2–3: Core Implementation","None — can be done in parallel","[ ] Admin can fetch and update gamification settings|[ ] Default rules exist or are safely seeded|[ ] Invalid rule updates are rejected predictably|[ ] Badge CRUD contract is usable by frontend consumers","Files: server/src/api/admin-gamification.routes.ts, gamification service, admin hooks if needed. No frontend polish beyond what is needed to validate contract."
T-012,Harden rate limiting and sensitive middleware behavior,"Improve baseline protection on sensitive routes, especially auth, AI, uploads, and high-risk POST endpoints, without disrupting normal developer flow.",Shady,2,To Do,04/24/2026,04/25/2026,Security Hardening,"security,backend,day-2-3,rate-limit","Audit current rate-limit configuration and key generation|Apply safe coverage to sensitive endpoints|Standardize middleware behavior and error payloads|Validate local ergonomics and proxy IP handling|Document route coverage and thresholds","Day 2–3: Core Implementation","None — can be done in parallel","[ ] Sensitive routes are protected by appropriate rate limiting|[ ] IPv4 and IPv6 and proxy-safe key behavior is correct|[ ] Error responses follow the documented security contract|[ ] Local development still works with documented expectations","Files: server/src/index.ts and middleware files. Avoid breaking legitimate QA and dev workflows."
T-013,Harden upload anti-cheat and restricted endpoint protections,"Ensure upload and proctoring-related endpoints enforce role checks, input validation, and safe error behavior because these are high-risk surfaces.",Shady,2,To Do,04/24/2026,04/25/2026,Security Hardening,"security,uploads,anti-cheat,day-2-3","Audit recording upload and anti-cheat routes|Validate role-based access on view and write actions|Verify file size and type restrictions|Validate suspicious activity logging|Publish risk findings and remediations","Day 2–3: Core Implementation","None — can be done in parallel","[ ] Unauthorized users cannot access protected upload and proctoring endpoints|[ ] Upload validation rejects invalid files safely|[ ] High-risk route failures are logged consistently|[ ] Risk register captures remaining issues clearly","Files: server/src/api/anti-cheat.routes.ts, server/src/api/recording-upload.routes.ts, related middleware and services."
T-014,Build AI orchestration service shell,"Implement the orchestration service entrypoint that can receive a structured task, route it through the intended workflow, and return a traceable response shape.",Youssef,2,To Do,04/24/2026,04/25/2026,AI Features,"ai,backend,day-2-3,orchestrator","Create orchestration service module and route scaffold|Parse and validate request payload|Implement stub-to-live routing structure|Return deterministic response with trace metadata|Document execution flow","Day 2–3: Core Implementation","None — can be done in parallel","[ ] Orchestration endpoint exists and accepts the frozen request schema|[ ] Endpoint returns valid structured responses|[ ] Trace metadata is included|[ ] Service can run in stub mode without external AI dependencies","Files: AI routes and services. Constraint: one working orchestrated path this week is enough and overbuilding should be avoided."
T-015,Implement one real AI orchestration workflow with fallback,"Deliver one functioning workflow through the orchestrator using existing lesson retrieval or chat capability where possible and a graceful fallback when AI infra is unavailable.",Youssef,2,To Do,04/24/2026,04/25/2026,AI Features,"ai,orchestrator,day-2-3,fallback","Select one workflow path|Integrate existing lesson retrieval or AI chat service|Add fallback path for missing key or unavailable vector DB|Verify response consistency across success and fallback|Document operational dependencies","Day 2–3: Core Implementation","Depends on T-014","[ ] One orchestrated workflow works end to end|[ ] Missing AI provider or retrieval infra returns graceful fallback|[ ] Response schema stays identical in success and fallback modes|[ ] Operational dependencies are documented","Files: server/src/api/ai-chat.routes.ts, server/src/services/ai.service.ts, server/src/services/lesson-digestion.service.ts, orchestration service."
T-016,Replace frontend mocks with live backend routes where ready,"Swap fixture-backed flows to live APIs for completed modules and verify the UI behaves the same with real data.",Jimmy,2,To Do,04/26/2026,04/26/2026,Integration & Testing,"frontend,integration,day-4","Identify routes ready for live integration|Toggle pages and hooks from fixtures to live mode|Validate all state modes with live data|Record integration issues and hand back to owners|Keep unresolved flows on fixture mode with explicit flag","Day 4: Integration","Depends on T-008, T-010, and T-015 where relevant; if not ready keep mocks and document carry-over","[ ] Live-integrated pages behave the same as fixture-backed versions|[ ] Broken live flows are documented with owner and route|[ ] No unresolved integration issue silently blocks the UI|[ ] Remaining mock-backed flows are clearly marked for carry-over","Do not wait on unfinished routes. Keep fixture fallback where needed."
T-017,Run backend contract verification sweep,"Verify all changed backend routes against their documented contracts and catch mismatches before final testing day.",Zeyad,2,To Do,04/26/2026,04/26/2026,Integration & Testing,"backend,integration,day-4,verification","Re-run target route requests using sample payload scenarios|Compare live responses to documented schema|Fix drift or document exceptions|Coordinate with Mohamed for gamification route checks|Publish backend verification summary","Day 4: Integration","Depends on core backend and gamification route work being complete enough for validation","[ ] All changed routes are checked against documented schemas|[ ] Contract mismatches are fixed or explicitly documented|[ ] Status codes are verified|[ ] Backend verification summary is published","Use curl or Postman or equivalent smoke tooling. No new scope should be added during verification."
T-018,Run security regression sweep on changed endpoints,"Validate that this week’s changed or added routes still meet baseline security expectations after integration.",Shady,2,To Do,04/26/2026,04/26/2026,Integration & Testing,"security,integration,day-4,regression","Re-test protected endpoints with invalid auth and role|Re-test rate-limited endpoints|Re-test upload and AI-related sensitive routes|Log any high-severity findings|Publish regression summary and residual risks","Day 4: Integration","Depends on core implementation tasks being complete enough for validation","[ ] Protected endpoints reject unauthorized requests correctly|[ ] Sensitive endpoints respect new middleware behavior|[ ] Any residual security issues are severity-tagged|[ ] Regression summary is published","Coordinate with Youssef on AI endpoint behavior and Zeyad on generic routes."
T-019,Run gamification integration checkpoint,"Verify the full gamification slice together across backend, frontend, and admin configuration so final testing is based on a working end-to-end path.",Mohamed,2,To Do,04/26/2026,04/26/2026,Integration & Testing,"gamification,integration,day-4,checkpoint","Validate lesson completion to event persistence|Validate student profile and activity refresh|Validate admin settings rules and badges flows|Validate leaderboard and report state behavior|Capture known issues and assign owners immediately","Day 4: Integration","Depends on T-009, T-010, T-011, and Jimmy’s related frontend integration","[ ] Student completion updates gamification consistently|[ ] Refresh preserves gamification-related state|[ ] Admin flows are testable end to end|[ ] Known issues are logged with owner and severity","No unresolved issue leaves the checkpoint without owner or workaround."
T-020,Run AI orchestration integration checkpoint,"Validate the orchestrator in a realistic environment with auth, lesson context if available, and failure simulation.",Youssef,2,To Do,04/26/2026,04/26/2026,Integration & Testing,"ai,integration,day-4,checkpoint","Test authenticated orchestration request|Test lesson-context path if available|Test fallback path with disabled AI dependency|Validate trace metadata and output shape|Publish integration summary","Day 4: Integration","Depends on T-014 and T-015; frontend consumer is optional","[ ] Orchestrator works with authenticated request|[ ] Success path returns expected structured response|[ ] Failure path returns graceful fallback|[ ] Trace metadata is visible and useful","Backend-first validation is acceptable this week."
T-021,Final frontend regression pass and evidence collection,"Run a final regression sweep across all touched UI flows and produce evidence for what was fixed and what still needs follow-up.",Jimmy,2,To Do,04/27/2026,04/27/2026,Frontend Bug Fixes,"frontend,day-5,regression,documentation","Re-test student pages touched this week|Re-test teacher and admin pages touched this week|Capture screenshots or short videos|Update frontend bug-fix doc|Log carry-over issues clearly","Day 5: Testing + Polish","Depends on Day 4 integration tasks","[ ] Every touched UI route has a tested outcome|[ ] Evidence exists for fixed flows|[ ] Remaining issues are documented clearly|[ ] No silent blank-state bug remains in tested areas","Documentation target: docs/frontend-weekly-bugfixes.md. Use a junior-friendly checklist format."
T-022,Final backend smoke run and route changelog,"Perform final backend smoke validation and publish a concise changelog of fixed routes, payload changes, and known issues.",Zeyad,2,To Do,04/27/2026,04/27/2026,Backend Bug Fixes,"backend,day-5,smoke-test,documentation","Run final route smoke tests|Confirm key routes return documented shapes|Compile changed-route summary|Flag unresolved backend issues|Share final handoff note","Day 5: Testing + Polish","Depends on Day 4 verification complete","[ ] Smoke-tested routes pass expected checks|[ ] Changelog includes route change and risk|[ ] Known unresolved issues are explicit|[ ] Final note is ready for lead review","Focus on routes touched this sprint only. No broad cleanup outside committed scope."
T-023,Final security signoff and risk register update,"Provide final security review for this sprint’s changes and update the risk register with anything that remains open.",Shady,2,To Do,04/27/2026,04/27/2026,Security Hardening,"security,day-5,signoff,risk-register","Review all security-related changes|Confirm mitigations on high-risk endpoints|Update residual risk entries|Write final signoff summary|Escalate any critical blocker immediately","Day 5: Testing + Polish","Depends on Day 4 security regression complete","[ ] Security status is documented for changed areas|[ ] Residual risks are severity-tagged and owned|[ ] No critical issue is left undocumented|[ ] Final signoff summary is shared","Documentation targets: docs/security-hardening-weekly.md and docs/security-risk-register.md."
T-024,Final AI runbook and demo-ready validation,"Finalize documentation and validation for the AI orchestration slice so it can be demonstrated and handed off cleanly.",Youssef,3,To Do,04/27/2026,04/27/2026,AI Features,"ai,day-5,runbook,demo","Validate final success and fallback responses|Finalize environment requirements|Finalize runbook and troubleshooting notes|Capture one demo scenario|Log next-step improvements for future sprint","Day 5: Testing + Polish","Depends on AI integration checkpoint complete","[ ] AI runbook is complete|[ ] Demo scenario is validated|[ ] Environment requirements are documented|[ ] Known next steps are separated from current sprint completion","Documentation targets: docs/ai-orchestra-contract.md and docs/ai-orchestra-runbook.md."
T-025,Final cross-team integration review and sprint closeout,"Run the final cross-team review, ensure every module has evidence and documentation, and produce the sprint closeout summary.",Mohamed,2,To Do,04/27/2026,04/27/2026,Integration & Testing,"integration,lead,day-5,closeout","Collect final validation summaries from all owners|Review unresolved issues and decide keep fix or escalate|Produce sprint closeout note|Confirm demo-ready flows|Confirm next sprint carry-over list","Day 5: Testing + Polish","Depends on all Day 5 validation tasks","[ ] Every module owner submits final status and evidence|[ ] Carry-over issues have owner and reason|[ ] Sprint closeout note is complete|[ ] Demo-ready flows are identified clearly","Mohamed acts as integration lead. No issue closes without evidence or explicit carry-over note."
